facility_id,state_id,lga_id,name,facility_type,address1,address2,phone1,phone2,email,pad_hospital_num,day_dqa,active,processing,national_id,datim_id
405,1,17,ab Ndiawa Health Centre,Rural,"","","","","",1,12,0,0,,
2678,35,728,ta Iware Maternal and Child Health,Rural,"","","","","",1,12,0,0,,
2679,35,728,ta Kofai Maternal and Child Health,Urban,"","","","","",1,12,0,0,,
2680,35,728,ta Mayo Ranewo Maternal and Child Health,Rural,"","","","","",1,12,0,0,,
2681,35,728,ta St. Peters Clinic,Urban,"","","","","",1,12,0,0,,
2682,35,728,ta Sunkani First Referral Hospital,Rural,"","","","","",1,12,0,0,,
2684,35,729,ta Bali General Hospital,Urban,"","","","","",1,12,0,0,,
2685,35,729,ta Santa Maria Clinic,Urban,"","","","","",1,12,0,0,,
2686,35,730,ta Akate Model Health Centre,Rural,"","","","","",1,12,0,0,,
2687,35,730,ta Ananum Maternal and Child Health,Urban,"","","","","",1,12,0,0,,
2688,35,730,ta Donga First Referral Hospital,Urban,"","","","","",1,12,0,0,,
2690,35,730,ta Gayama Maternal and Child Health,Rural,"","","","","",1,12,0,0,,
2692,35,730,ta Kumbo Maternal and Child Health,Rural,"","","","","",1,12,0,0,,
2694,35,730,ta Nyita Maternal and Child Health,Rural,"","","","","",1,12,0,0,,
2695,35,731,ta Alfa Maternal and Child Health Centre,Urban,"","","","","",1,12,0,0,,
2696,35,731,ta CRCN Comprehensive Health Centre,Urban,"","","","","",1,12,0,0,,
2701,35,733,ta Ibi First Referral Hospital,Urban,"","","","","",1,12,0,0,,
2703,35,734,ta Jalingo Federal Medical Centre,Urban,"","","","","",1,12,0,0,,
2704,35,734,ta Jalingo Government House Clinic,Urban,"","","","","",1,12,0,0,,
2705,35,734,ta Jalingo Maternal and Child Health Clinic,Urban,"","","","","",1,12,0,0,,
2706,35,734,ta Mile Six Clinic,Urban,"","","","","",1,12,0,0,,
2708,35,734,ta Nyabun kaka Health Center,Urban,"","","","","",1,12,0,0,,
2709,35,734,ta Society for Future Health,Urban,"","","","","",1,12,0,0,,
2710,35,734,ta State Specialist Hospital,Urban,"","","","","",1,12,0,0,,
2713,35,735,ta Andamin Maternal and Child Health Centre,Rural,"","","","","",1,12,0,0,,
2714,35,735,ta Bambur General Hospital,Rural,"","","","","",1,12,0,0,,
2715,35,735,ta Karim Comprehensive Health Centre,Rural,"","","","","",1,12,0,0,,
2716,35,735,ta Worom UMCN RHP Maternity Clinic,Rural,"","","","","",1,12,0,0,,
2720,35,738,ta Gembu General Hospital,Urban,"","","","","",1,12,0,0,,
2721,35,738,ta Mambila Baptist Hospital,Urban,"","","","","",1,12,0,0,,
2725,35,739,ta High Mammy Millenium Development Goals Clinic,Rural,"","","","","",1,12,0,0,,
2726,35,739,ta Kashimbilla Maternal and Child Centre,Rural,"","","","","",1,12,0,0,,
2727,35,739,ta Kpashimbe Maternal and Child Health,Rural,"","","","","",1,12,0,0,,
2728,35,739,ta Tati Millenium Development Goals Clinic,Rural,"","","","","",1,12,0,0,,
2729,35,740,ta Lissam Maternal and Child Health,Rural,"","","","","",1,12,0,0,,
2731,35,741,ta Gidin Dorowa Maternal and Child Health Centre,Rural,"","","","","",1,12,0,0,,
2733,35,741,ta Wukari Christian Reformed Church Of Nigeria Aids Action Committee,Urban,"","","","","",1,12,0,0,,
2734,35,741,ta Wukari General Hospital,Urban,"","","","","",1,12,0,0,,
2736,35,743,ta Bitako Maternal and Child Health,Rural,"","","","","",1,12,0,0,,
2738,35,743,ta Lamma Maternal and Child Health,Rural,"","","","","",1,12,0,0,,
2739,35,743,ta Monkin MDG Clinic,Rural,"","","","","",1,12,0,0,,
2740,35,743,ta United Methodist Church of Nigeria Rural Health Programme CSO,Urban,"","","","","",1,12,0,0,,
2741,35,743,ta Yakoko Maternal and Child Health,Rural,"","","","","",1,12,0,0,,
2742,35,743,ta Yakoko St. Monica Health Centre,Rural,"","","","","",1,12,0,0,,
2750,35,742,ta Kpantisawa First Referral Hospital,Private,,,,"",,1,12,0,0,,
1,1,1,ab Aba Berma Hospital,Urban,"","","","","",1,12,0,0,,
2,1,1,ab Aba Holywood Hospital,Urban,"","","","","",1,12,0,0,,
11,1,1,ab Gods Will Clinic,Urban,"","","","","",1,12,0,0,,
3,1,1,ab Angels of Mercy Hospital,Urban,"","","","","",1,12,0,0,,d35P6m74qmY
4,1,1,ab Asaokpulor Primary Health Centre,Rural,"","","","","",1,12,0,0,,sM27U9T9pJ3
5,1,1,ab Austin Grace Specialist Hospital,Urban,"","","","","",1,12,0,0,,GnbooduDm80
6,1,1,ab Blessed Haven Hospital,Urban,"","","","","",1,12,0,0,,uY8VHHM5Hwl
43,1,2,ab Chiwendu Clinics and Maternity,Urban,"","","","","",1,12,0,0,,qOzT1XQxLcn
7,1,1,ab Emmanuel Medical Centre,Urban,"","","","","",1,12,0,0,,R3bqt6i6rh5
8,1,1,ab Euna Hospital and Maternity,Urban,"","","","","",1,12,0,0,,eAHLiph4QHe
9,1,1,ab Evergreen Clinic and Maternity,Urban,"","","","","",1,12,0,0,,xeTbkonrzvs
10,1,1,ab Eziama Primary Health Centre,Urban,"","","","","",1,12,0,0,,TjjEN0TFl7T
13,1,1,ab Goodness and Mercy Hospital,Urban,"","","","","",1,12,0,0,,Gr106SAI7KG
12,1,1,ab Good Samarithan Hospital,Urban,"","","","","",1,12,0,0,,yA6aPQvAFmi
14,1,1,ab Group Medical Practice,Urban,"","","","","",1,12,0,0,,eOIxfwzSQ1b
16,1,1,ab Impact Hospital and Maternity,Urban,"","","","","",1,12,0,0,,W8OIzEvDmQX
17,1,1,ab Isaac Okwuonu Memorial Hospital,Urban,"","","","","",1,12,0,0,,JcqDNZoHt4v
18,1,1,ab Kahabiri Specialist Hospital,Urban,"","","","","",1,12,0,0,,HKHhfGzhT4r
19,1,1,ab Landmark Hospital,Urban,"","","","","",1,12,0,0,,n9ZrIFPbsIt
21,1,1,ab New Life Clinic and Maternity,Urban,"","","","","",1,12,0,0,,ZrqGMwtCVh2
22,1,1,ab Nissi Hospital,Urban,"","","","","",1,12,0,0,,GJ9YDELFZlZ
23,1,1,ab Noscar Conerstone Clinic,Urban,"","","","","",1,12,0,0,,O4eecXXjkNB
24,1,1,ab Osoke Primary Health Centre,Urban,"","","","","",1,12,0,0,,aZMOyFyfdhp
283,1,11,ab Romalex Hospitals,Urban,"","","","","",1,12,0,0,,R2sGrZ8ZGGr
284,1,11,ab Rosevine Hospital,Urban,"","","","","",1,12,0,0,,iIV9Z4DsIzr
25,1,1,ab Seventh Day Adventist Hospital Aba,Urban,"","","","","",1,12,0,0,,fHFnqRjG4TI
26,1,1,ab The Chees Clinic and Maternity,Urban,"","","","","",1,12,0,0,,ETFkhWxh1Mp
27,1,1,ab Tina Maternity and Immunization Centre,Urban,"","","","","",1,12,0,0,,XYr0UTY8LeV
28,1,1,ab Touch Health Centre,Rural,"","","","","",1,12,0,0,,fX4E9iEEQz7
29,1,1,ab Umola-Egbelu Primary Health Centre,Urban,"","","","","",1,12,0,0,,m4tmvCl6aDy
30,1,1,ab Umuogor Primary Health Centre,Urban,"","","","","",1,12,0,0,,ANzRLjqm2mI
31,1,1,ab Uratta Primary Health Centre,Rural,"","","","","",1,12,0,0,,KaNvSaNyZFo
32,1,1,ab Zikora Medical Centre,Urban,"","","","","",1,12,0,0,,lfZ65U5JI0L
34,1,2,ab Aba St Joseph Hospital,Urban,"","","","","",1,12,0,0,,NBpPdHsoZge
35,1,2,ab Abia State Teaching Hospital,Urban,"","","","","",1,12,0,0,,aYWkK1xhozp
36,1,2,ab Agu Memorial Hospital,Urban,"","","","","",1,12,0,0,,bW2WaSXZ5nk
37,1,2,ab Anastesia Hospital Ltd,Urban,"","","","","",1,12,0,0,,XvOBWeExPQg
39,1,2,ab Bethel Hospital and Maternity,Urban,"","","","","",1,12,0,0,,vtTdSOK1CPp
40,1,2,ab Blessing Hospital,Urban,"","","","","",1,12,0,0,,vnHqgMy0lND
41,1,2,ab Chidimma Green Hospital Life,Urban,"","","","","",1,12,0,0,,iF31KeOrrV3
42,1,2,ab Chinwe Maternity Home,Urban,"","","","","",1,12,0,0,,gcC3Q1CyHJy
44,1,2,ab Christian Aid Maternity,Rural,"","","","","",1,12,0,0,,nJvYQRN9XPe
45,1,2,ab Clehenson Hospital,Urban,"","","","","",1,12,0,0,,l7cze6OOCj6
46,1,2,ab Divine Favour Hospital and Maternity,Urban,"","","","","",1,12,0,0,,XsM3jOq56Xa
47,1,2,ab Ekeoma Memorial Specialist Hospital,Urban,"","","","","",1,12,0,0,,COpu6grpzXL
48,1,2,ab El-Asamen Specialist Hospital,Urban,"","","","","",1,12,0,0,,XbNm11jQwHB
49,1,2,ab Faith Foundation Hospital,Urban,"","","","","",1,12,0,0,,bukkSYGPGJu
50,1,2,ab Harmony Hospital,Urban,"","","","","",1,12,0,0,,kQoogA5soIF
15,1,1,ab Ikechukwu Maternity and Hospital,Rural,"","","","","",1,12,0,0,,uOYBNiuut7r
51,1,2,ab John Okorie Memorial Hospital,Urban,"","","","","",1,12,0,0,,lRu1GAUduRM
52,1,2,ab Mendel Hospital and Diagnostic Centre Ltd,Urban,"","","","","",1,12,0,0,,GhE4KpcDirN
53,1,2,ab Miracle Hospital,Urban,"","","","","",1,12,0,0,,TYD2HWvydpS
54,1,2,ab Mother Mercy Clinic,Urban,"","","","","",1,12,0,0,,sic4KY6oaBe
20,1,1,ab Nazereth Hospital,Urban,"","","","","",1,12,0,0,,TTGKOP7G8fS
55,1,2,ab Ndu Christ Maternity,Urban,"","","","","",1,12,0,0,,ngNJnF8HOGz
56,1,2,ab New Generation Hospital and Maternity,Urban,"","","","","",1,12,0,0,,EBQx41bPIvI
57,1,2,ab Ngwa Road Clinic,Urban,"","","","","",1,12,0,0,,A8OdLJw7M0W
58,1,2,ab Nnadozie Hospital,Urban,"","","","","",1,12,0,0,,RfXfz35pdV2
59,1,2,ab Onyemaechi Maternity,Urban,"","","","","",1,12,0,0,,uZdbhZBgXZr
60,1,2,ab Our Saviour Maternity Home,Urban,"","","","","",1,12,0,0,,sHLG8cmUD2S
61,1,2,ab Petra Hospital (Ngwa II),Urban,"","","","","",1,12,0,0,,c21W6qGSYit
62,1,2,ab Presbyterian Primary Health Center,Urban,"","","","","",1,12,0,0,,PfVIIx8BJNP
63,1,2,ab Shammah Christian Hospital,Urban,"","","","","",1,12,0,0,,UyQtIe4soho
65,1,2,ab St. Anthony Hospital Ltd,Urban,"","","","","",1,12,0,0,,VdlPkoQ1IFw
64,1,2,ab St James Primary Health Centre,Urban,"","","","","",1,12,0,0,,nOel889aT4K
66,1,2,ab Victory Christian Hospital,Urban,"","","","","",1,12,0,0,,PNPn9aOT9so
67,1,2,ab Word of Faith Mission Hospital,Urban,"","","","","",1,12,0,0,,OeT8oHcVduP
68,1,3,ab Achara Health Centre,Rural,"","","","","",1,12,0,0,,OokcC9LZTvX
113,1,3,ab Aduanu Health Centre,Rural,"","","","","",1,12,0,0,,L2V1bWNceeW
69,1,3,ab Amaeka Abem Health Centre,Rural,"","","","","",1,12,0,0,,nXlc2ihcwzU
70,1,3,ab Amakofia Health Centre,Rural,"","","","","",1,12,0,0,,rb2Ex1Ea8fb
71,1,3,ab Amamiri Health Centre,Rural,"","","","","",1,12,0,0,,Sgn2ONTKrwK
72,1,3,ab Amuru Health Centre,Rural,"","","","","",1,12,0,0,,iWYdlJJfpvJ
73,1,3,ab Asaga Health Centre,Rural,"","","","","",1,12,0,0,,mPNAVdATEsH
74,1,3,ab Atani Health Centre,Rural,"","","","","",1,12,0,0,,timfhZkMfC0
75,1,3,ab Eleoha Otutu Health Centre,Rural,"","","","","",1,12,0,0,,pizo57iV0ZP
76,1,3,ab Idima Health Centre,Rural,"","","","","",1,12,0,0,,xaPQlHAOWUn
77,1,3,ab Mercy Catholic Hospital,Rural,"","","","","",1,12,0,0,,FtQALLjGAKP
78,1,3,ab Ndi Okorie Abam,Rural,"","","","","",1,12,0,0,,YSd3MVveSG8
79,1,3,ab Nkpakpi Otutu Health Centre,Rural,"","","","","",1,12,0,0,,dsSwMUJnmHO
80,1,3,ab Obieze Isu Health Centre,Rural,"","","","","",1,12,0,0,,QBjVe6mnNkd
81,1,3,ab Obinkita Health Centre,Rural,"","","","","",1,12,0,0,,a846bnWnaIU
82,1,3,ab Ozu Abam Primary Health Centre,Rural,"","","","","",1,12,0,0,,xY2XHV237PQ
84,1,3,ab Ugwuavo Health Centre,Rural,"","","","","",1,12,0,0,,ZliIbDCUkPx
85,1,3,ab Ukwuakwu Health Centre,Rural,"","","","","",1,12,0,0,,EejF6tnZSYy
86,1,3,ab Umuzomgbo Health Centre,Rural,"","","","","",1,12,0,0,,BhQJ3crBrX6
87,1,4,ab Agbamuzu Primary Health Centre,Rural,"","","","","",1,12,0,0,,ftD7jJwsef7
88,1,4,ab Akoli Health Centre,Rural,"","","","","",1,12,0,0,,Vje23oxSyKJ
89,1,4,ab Alayi Maternity Primary Health Centre,Rural,"","","","","",1,12,0,0,,fVQ5SWJeSKk
91,1,4,ab Amaegbuato Primary Health Centre,Rural,"","","","","",1,12,0,0,,onklSzE8GWZ
92,1,4,ab Amankalu Primary Health Centre,Rural,"","","","","",1,12,0,0,,CFYiXuqi7pz
93,1,4,ab Amaokwe Item Maternity Primary Health Centre,Rural,"","","","","",1,12,0,0,,ETBxY9I6uq6
94,1,4,ab Amaukwu Primary Health Centre,Rural,"","","","","",1,12,0,0,,ElBSzX3LkIW
95,1,4,ab Bende Maternity Home Primary Health Centre,Rural,"","","","","",1,12,0,0,,tnwHmKaLL1C
96,1,4,ab Chijioke Osogbo Methodist Memory Hospital,Rural,"","","","","",1,12,0,0,,MmOG2HOLx86
97,1,4,ab Ezeukwe Health Centre,Rural,"","","","","",1,12,0,0,,WirdbnJjGVf
98,1,4,ab Ezinne Model Maternity Home,Rural,"","","","","",1,12,0,0,,aWzjxc7xJ8V
99,1,4,ab Igbere Primary Health Centre,Rural,"","","","","",1,12,0,0,,HspDZvwjOBQ
100,1,4,ab Ijeoma Maternity Home,Rural,"","","","","",1,12,0,0,,SzkoWh6qzO0
101,1,4,ab Isiegbu Ozuitem Primary Health Centre,Rural,"","","","","",1,12,0,0,,hSUZH3wLt2K
102,1,4,ab Ndiwo Itumbuzo Primary Health Centre,Rural,"","","","","",1,12,0,0,,wo2Tn9ZYU3a
103,1,4,ab Ngwu Health Centre,Rural,"","","","","",1,12,0,0,,Q4VHCxiztfn
105,1,4,ab Okporoenyi Primary Health Centre,Rural,"","","","","",1,12,0,0,,ENyoBxLk8fg
106,1,4,ab Okpuhu Nkpa Primary Health Centre,Rural,"","","","","",1,12,0,0,,C6SgNcFIRHt
107,1,4,ab Standard Health Clinic,Rural,"","","","","",1,12,0,0,,l2vXawg4JEG
109,1,4,ab Umunneato Comprehensive Primary Health Centre,Rural,"","","","","",1,12,0,0,,nelEsLrKayF
110,1,4,ab Umuokwe Primary Health Centre,Rural,"","","","","",1,12,0,0,,NUqbpSda6kC
111,1,4,ab Umusi Primary Health Centre,Rural,"","","","","",1,12,0,0,,hzoBHHADlAJ
112,1,4,ab Uzuakoli Primary Health Centre,Rural,"","","","","",1,12,0,0,,sEA4Q2YPAtx
114,1,5,ab Ahia Orie Health Centre,Rural,"","","","","",1,12,0,0,,OBEvGlKsem8
115,1,5,ab Amaba Health Centre,Urban,"","","","","",1,12,0,0,,uQwmPtX9uJr
116,1,5,ab Amawum Outreach Unit,Rural,"","","","","",1,12,0,0,,ZYcQVf8di3F
117,1,5,ab Ariam Health Centre,Rural,"","","","","",1,12,0,0,,itQMLQY06ji
118,1,5,ab Awomukwu Primary Health Centre,Urban,"","","","","",1,12,0,0,,I3wPNIazxso
119,1,5,ab FMC Comprehensive Health Centre,Rural,"","","","","",1,12,0,0,,kLTWz5is8zY
120,1,5,ab Iberenta Primary Health Centre,Urban,"","","","","",1,12,0,0,,ipWBGh99se2
121,1,5,ab Ikemba Health Centre,Urban,"","","","","",1,12,0,0,,Ms0moVWCKnZ
122,1,5,ab Iyiala Health Centre,Urban,"","","","","",1,12,0,0,,i11WOBiDi2Q
123,1,5,ab Michael Okpara University of Agriculture Health Centre,Urban,"","","","","",1,12,0,0,,wg1zSngSfJQ
124,1,5,ab Nkasi Maternity,Urban,"","","","","",1,12,0,0,,YkMnD6ilari
125,1,5,ab Oboro Health Centre,Rural,"","","","","",1,12,0,0,,Zb6vU63Hj9F
126,1,5,ab Obugwu Primary Health Centre,Urban,"","","","","",1,12,0,0,,kO251ZU013u
127,1,5,ab Obuohia Ibere Health Centre,Urban,"","","","","",1,12,0,0,,qdVA0osBNa3
128,1,5,ab Obuohia Okike Primary Health Centre,Urban,"","","","","",1,12,0,0,,FV6aCNtnzD7
129,1,5,ab Okwe-Ukwe Primary Health Centre,Rural,"","","","","",1,12,0,0,,HCnzgAMRC1R
130,1,5,ab Umudike Ukwu Health Centre,Urban,"","","","","",1,12,0,0,,OdPbP5oJhy9
131,1,5,ab Usaka Ukwu Health Centre,Urban,"","","","","",1,12,0,0,,doC4lMKVbd2
132,1,6,ab Abayi Health Centre,Rural,"","","","","",1,12,0,0,,zkdHqW5fxRO
133,1,6,ab Agburuezukwu Health Centre,Rural,"","","","","",1,12,0,0,,GS71e4Qa97o
134,1,6,ab Ahiabaubi Primary Health Centre,Rural,"","","","","",1,12,0,0,,hBvyUGJtKSg
135,1,6,ab Amachi Health Post,Rural,"","","","","",1,12,0,0,,mUjor00PnIX
136,1,6,ab Anglican Maternity,Rural,"","","","","",1,12,0,0,,FHoT9AIgypt
137,1,6,ab Chinenyenwa Maternity,Rural,"","","","","",1,12,0,0,,xoTh88rlz9b
139,1,6,ab Eziala Primary Health Centre,Rural,"","","","","",1,12,0,0,,qGXTOTqx9CO
140,1,6,ab Gods Own Heritage Maternity,Rural,"","","","","",1,12,0,0,,TdfuYQ7uXWD
141,1,6,ab Ichi Ukwu Health Centre,Rural,"","","","","",1,12,0,0,,g0pc2QIAisi
143,1,6,ab Ikputu Health Centre,Rural,"","","","","",1,12,0,0,,Oqb4ZhABsDn
145,1,6,ab Ohuhu Nsulu Health Centre,Rural,"","","","","",1,12,0,0,,MojKGcJayRP
147,1,6,ab Oriaa Na Ugaa Hospital Ntigha,Rural,"","","","","",1,12,0,0,,TZKbDIL5Av4
148,1,6,ab Osusu Primary Health Centre,Rural,"","","","","",1,12,0,0,,TWWragqc7UA
149,1,6,ab St. Eugene Clinic,Rural,"","","","","",1,12,0,0,,V18ixtwxhzb
150,1,6,ab Umuakwu Primary Health Centre,Rural,"","","","","",1,12,0,0,,VLz2nn5y2ca
151,1,6,ab Umuchima Primary Health Centre,Rural,"","","","","",1,12,0,0,,duCxlveK5rp
152,1,6,ab Umuezenta Basic Healthcare,Rural,"","","","","",1,12,0,0,,TBdw5Fs1yfr
153,1,6,ab Umuezeukwu Health Post,Rural,"","","","","",1,12,0,0,,WdCFeXMQnTj
154,1,6,ab Umuode Health Centre,Rural,"","","","","",1,12,0,0,,LcMxTZ1Y3g3
155,1,6,ab Umuosu Primary Health Centre,Rural,"","","","","",1,12,0,0,,QPPEbmHZLrK
156,1,6,ab Uratta Health Centre,Rural,"","","","","",1,12,0,0,,U13Nx2rhVYZ
157,1,6,ab Usaka Umuofor Health Centre,Rural,"","","","","",1,12,0,0,,moc1vfxudzy
158,1,7,ab Africare Health Centre,Rural,"","","","","",1,12,0,0,,hn0bVrvglq0
159,1,7,ab Agbaragwu Primary Health Centre,Rural,"","","","","",1,12,0,0,,qPultLDEcLq
160,1,7,ab Amaku Primary Health Centre,Rural,"","","","","",1,12,0,0,,VPjtiAIFtrY
161,1,7,ab Christianways Mission Hospital,Rural,"","","","","",1,12,0,0,,A1eKPl3idIk
162,1,7,ab Ebeyi Primary Health Centre,Rural,"","","","","",1,12,0,0,,UNt02QVBBEo
163,1,7,ab Eketa Health Centre,Rural,"","","","","",1,12,0,0,,MMQwMxEsn0E
164,1,7,ab Ikem Nvosi Health Centre,Rural,"","","","","",1,12,0,0,,sGRcT3PlIsz
165,1,7,ab Jesus Glory & Chi Chi Maternity,Rural,"","","","","",1,12,0,0,,dh6AhH2ZPKj
166,1,7,ab Mbutu Ukwu Primary Health Centre,Rural,"","","","","",1,12,0,0,,Ksln58gOeuX
167,1,7,ab Mbutu Umuoko Primary Health Centre,Rural,"","","","","",1,12,0,0,,UFMalWF6B3E
168,1,7,ab Mercy Hospital,Rural,"","","","","",1,12,0,0,,et3SE6FwATq
169,1,7,ab Mercy Maternity Home and Rehabilitation Centre,Rural,"","","","","",1,12,0,0,,pwnKaaUxwVK
170,1,7,ab Mgbokonta Primary Health Centre,Rural,"","","","","",1,12,0,0,,EsxMORskso1
171,1,7,ab Ngwaobi Primary Health Centre,Rural,"","","","","",1,12,0,0,,RfpcKWwtm8p
172,1,7,ab Omoba Health Centre,Rural,"","","","","",1,12,0,0,,vNd9VEqDMtd
173,1,7,ab Osokwa Model Health Centre,Rural,"","","","","",1,12,0,0,,QWzYzn69MPf
175,1,7,ab Ugba Primary Health Centre,Rural,"","","","","",1,12,0,0,,ZriJT2tgGzc
177,1,7,ab Umuene Primary Health Centre,Rural,"","","","","",1,12,0,0,,dWjqD9U0lPO
178,1,7,ab Umunko Health Centre,Rural,"","","","","",1,12,0,0,,lr2Qlm2rUHL
179,1,7,ab Umunkpeyi Nvosi Primary Healthcare,Rural,"","","","","",1,12,0,0,,xBaIqmqmMpP
180,1,7,ab Umuotiri Health Centre,Rural,"","","","","",1,12,0,0,,z1V1eezsOT8
181,1,8,ab Acha Primary Health Centre,Rural,"","","","","",1,12,0,0,,f5SAyToI4Kf
182,1,8,ab Achara Health Centre (Isikwuato),Rural,"","","","","",1,12,0,0,,iwvWfGEse3M
183,1,8,ab Amaba Health Centre (Isikwuato),Rural,"","","","","",1,12,0,0,,iCzCNbTvW9V
184,1,8,ab Amaiyi Obilohia Primary Health Centre,Rural,"","","","","",1,12,0,0,,S66scwZbR4d
185,1,8,ab Amangelukwu Health Centre,Rural,"","","","","",1,12,0,0,,WJWPp9tAcDJ
186,1,8,ab Amiyiuhu Health Centre Oguduasa,Rural,"","","","","",1,12,0,0,,IIvf0QYTt4B
187,1,8,ab Echiele Primary Health Centre,Rural,"","","","","",1,12,0,0,,fMhqIm1N8jT
188,1,8,ab Imenyi Ahaba Primary Health Centre,Rural,"","","","","",1,12,0,0,,mSP7pXIOzzr
189,1,8,ab Marist Cottage Hospital Uturu,Rural,"","","","","",1,12,0,0,,UA2gFxAFIuQ
191,1,8,ab Mgbelu Umunnekwu Health Centre,Rural,"","","","","",1,12,0,0,,tNxT6g6lR7t
192,1,8,ab Ndundu Health Centre Uturu,Rural,"","","","","",1,12,0,0,,MoYWYpl4zqV
193,1,8,ab Nunya Primary Health Centre,Rural,"","","","","",1,12,0,0,,xmixfP26qRd
194,1,8,ab Nvurunvu Primary Health Centre,Rural,"","","","","",1,12,0,0,,egKDEfxVJj1
195,1,8,ab Ohiyinta Primary Health Centre,Rural,"","","","","",1,12,0,0,,mcvpkobyiCo
197,1,8,ab Otamkpa Primary Health Centre,Rural,"","","","","",1,12,0,0,,anxvG7geZVl
199,1,8,ab Ozara Health Centre,Rural,"","","","","",1,12,0,0,,cJz1cDExF6R
200,1,8,ab Swiss Foundation Hospital,Rural,"","","","","",1,12,0,0,,PqpYTVBAk57
201,1,8,ab Ugwuele Primary Health Centre,Rural,"","","","","",1,12,0,0,,LIuvJjooy6v
202,1,8,ab Ukwunwangwu Uturu Primary Health Centre,Rural,"","","","","",1,12,0,0,,QTSMKm5CxhR
203,1,8,ab Umebereaja Health Centre,Rural,"","","","","",1,12,0,0,,DPrqyE00aeA
204,1,8,ab Umuobiala Primary Health Centre,Rural,"","","","","",1,12,0,0,,MCXOpRjDmwb
205,1,9,ab Abala Primary Health Centre,Rural,"","","","","",1,12,0,0,,sqXU1A4nTJx
206,1,9,ab Akanu Okpulo Primary Health Centre,Rural,"","","","","",1,12,0,0,,FIFwgJi5SQi
207,1,9,ab Bishop Afonya Memorial Hospital,Rural,"","","","","",1,12,0,0,,D4d8huAbcBW
208,1,9,ab Divine Favour Maternity,Rural,"","","","","",1,12,0,0,,SPjifWaQk39
209,1,9,ab Ehere Primary Health Centre,Rural,"","","","","",1,12,0,0,,cu0t4wvDSTm
210,1,9,ab Isiala Itu Primary Health Centre,Rural,"","","","","",1,12,0,0,,kh19iCD32Qr
211,1,9,ab Isiala Ndu Primary Health Centre,Rural,"","","","","",1,12,0,0,,NuDFKx4F1JX
212,1,9,ab Isiala Ovom Health Post,Rural,"","","","","",1,12,0,0,,TNTF4iKNqM1
213,1,9,ab Mbano Ntighauzor Primary Health Centre,Rural,"","","","","",1,12,0,0,,RYkOnlLpsch
214,1,9,ab MDG Primary Health Centre Ibeme,Rural,"","","","","",1,12,0,0,,yynwmMbQn9l
215,1,9,ab Mgboko Amiri Primary Health Centre,Rural,"","","","","",1,12,0,0,,FPfFkdwm8io
216,1,9,ab Mgbokoanya Primary Health Centre,Rural,"","","","","",1,12,0,0,,ofpKoNqRWSM
217,1,9,ab Nenu Primary Health Centre,Rural,"","","","","",1,12,0,0,,rhhRqLaGX7N
218,1,9,ab Nigerian Christian Hospital Nlagu,Rural,"","","","","",1,12,0,0,,Axox0WQySu4
219,1,9,ab Ohanze Primary Health Centre,Rural,"","","","","",1,12,0,0,,V72atHw93bk
220,1,9,ab Orienz Specialist Hospital,Rural,"","","","","",1,12,0,0,,jajMqzf7MAQ
